timestamp,downlink_rolled_mbps_3,uplink_rolled_mbps_3,downlink_rolled_mbps_4,uplink_rolled_mbps_4,downlink_rolled_mbps_2,uplink_rolled_mbps_2,sw_power_baseline,avg_power_baseline,nr_ssRsrp_avg,rsrp,nr_ssRsrp,nr_ssSinr,rsrp_avg,nrStatus,nr_ssSinr_avg,provider,direction,radio_type_used,sw_power_rolled,avg_power_rolled,avg_power,sw_power,downlink_mbps,uplink_mbps,Throughput
1/24/21 13:08,0.363370667,39.504448,0.368936,40.658912,0.37304,42.235104,1278.304859,1421.307727,-91,-91,-91,5,-91,CONNECTED,2.6,TMobile,uplink,NSA+LTE,3635.5774,3778.580268,3778.38844,3851.722,0.357728,43.766848,56.6
1/24/21 13:08,0.490272,40.785888,0.452408,40.667088,0.462912,39.421712,1114.339723,1660.804879,-91.8,-91,-91,4,-91.8,CONNECTED,3.8,TMobile,uplink,NSA+LTE,3471.612264,4018.07742,4017.43712,3562.1904,0.537312,33.563872,25.2
1/23/21 12:41,86.02187733,0.235082667,86.59656,0.232024,85.040624,0.241424,2116.927459,2625.377105,-91.9,-91,-91,0,-91.9,CONNECTED,-0.9,TMobile,downlink,NSA+LTE,4474.2,4982.649646,4981.7724,4642.875,74.665216,0.232352,73.3
1/24/21 13:34,0.550090667,60.368416,0.519376,60.692888,0.652592,66.283584,2339.98288,2642.38893,-91,-91,-91,-1,-91,CONNECTED,-1,TMobile,uplink,NSA+LTE,4783.121686,5085.527736,5087.25326,5031.0568,0.623008,67.2296,61.9
1/24/21 13:34,0.582986667,65.112288,0.607784,65.168608,0.562976,64.053632,2241.81386,2725.50621,-91,-91,-91,1,-91,CONNECTED,1,TMobile,uplink,NSA+LTE,4684.952666,5168.645016,5167.77646,4451.3728,0.533312,60.29264,40.9
1/24/21 13:34,0.598794667,66.8928,0.599688,66.68564,0.586688,64.710064,2139.591514,2558.717296,-91,-91,-91,0,-91,CONNECTED,0,TMobile,uplink,NSA+LTE,4582.73032,5001.856102,5002.54188,4679.8696,0.576992,66.270272,74.4
1/24/21 13:34,0.602229333,68.25966933,0.600768,66.982216,0.614848,69.254368,2075.169674,2617.703156,-91,-91,-91,2,-91,CONNECTED,2,TMobile,uplink,NSA+LTE,4518.30848,5060.841962,5060.996819,4133.9536,0.637312,70.934624,77.6
1/25/21 19:58,68.97648,0.144394667,60.819424,0.13176,67.66496,0.14376,2132.222357,2627.083729,-90,-90,-90,0,-90,CONNECTED,0,TMobile,downlink,NSA+LTE,4489.494898,4984.35627,4984.42968,4505.2544,59.532032,0.152096,90.8
1/25/21 19:58,93.21070933,0.261984,90.672096,0.247,96.31712,0.256944,2167.581219,2946.66047,-90,-90,-90,2,-90,CONNECTED,2,TMobile,downlink,NSA+LTE,4524.85376,5303.933011,5303.934807,4697.1648,103.262528,0.270496,98.6
1/25/21 20:00,84.63703467,0.161269333,81.496168,0.160264,84.546832,0.1612,2283.501219,2809.233999,-90,-90,-90,2,-90,CONNECTED,2,TMobile,downlink,NSA+LTE,4640.77376,5166.50654,5167.6712,4979.2792,96.887808,0.183872,109
